,ID,name,fuel,seller_type,transmission,owner,year,selling_price,km_driven,marca
694,4082,Hyundai Grand i10 Nios Magna CRDi,Diesel,Individual,Manual,First Owner,2020,€ 700000,1400,Hyundai
695,4085,Chevrolet Beat LS,Petrol,Individual,Manual,First Owner,2011,€ 160000,60000,Chevrolet
696,4088,Maruti Alto LX,Petrol,Individual,Manual,Third Owner,2011,€ 114999,60000,Maruti
697,4091,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner,2009,€ 150000,53000,Maruti
698,4094,Volkswagen Jetta 1.9 L TDI,Diesel,Dealer,Manual,First Owner,2010,€ 250000,100000,Volkswagen
699,4097,Hyundai Verna 1.6 SX,Diesel,Dealer,Manual,Second Owner,2012,€ 390000,86000,Hyundai
700,4100,Renault Duster 85PS Diesel RxL,Diesel,Individual,Manual,First Owner,2015,€ 650000,100000,Renault
701,4103,Hyundai Xcent 1.1 CRDi SX Option,Diesel,Individual,Manual,First Owner,2016,€ 600000,30000,Hyundai
702,4106,Hyundai i20 1.2 Sportz,Petrol,Individual,Manual,First Owner,2011,€ 250000,120000,Hyundai
703,4109,Hyundai Santro Xing GL Plus LPG,LPG,Individual,Manual,Second Owner,2011,€ 229999,60000,Hyundai
704,4112,Maruti Ritz LDi,Diesel,Individual,Manual,Second Owner,2016,€ 299000,50000,Maruti
705,4115,Chevrolet Cruze LTZ,Diesel,Individual,Manual,Second Owner,2010,€ 330000,124000,Chevrolet
706,4118,Hyundai Accent Executive,Petrol,Individual,Manual,Third Owner,2012,€ 180000,100000,Hyundai
707,4121,Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner,2017,€ 475000,42000,Hyundai
708,4124,Hyundai Grand i10 CRDi Sportz,Diesel,Individual,Manual,First Owner,2015,€ 325000,100000,Hyundai
709,4127,Honda City i VTEC V,Petrol,Dealer,Manual,First Owner,2016,€ 639000,28205,Honda
710,4130,Maruti Celerio VXI AT,Petrol,Dealer,Automatic,First Owner,2017,€ 415000,32670,Maruti
711,4133,Hyundai Creta 1.6 CRDi AT SX Plus,Diesel,Dealer,Automatic,First Owner,2016,€ 1199000,30093,Hyundai
712,4136,Maruti Ertiga VXI CNG,CNG,Dealer,Manual,First Owner,2013,€ 525000,56228,Maruti
713,4139,Hyundai Verna 1.6 SX VTVT,Petrol,Dealer,Manual,First Owner,2013,€ 425000,59319,Hyundai
714,4142,Maruti Vitara Brezza VDi,Diesel,Dealer,Manual,First Owner,2016,€ 699000,39503,Maruti
715,4145,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Petrol,Dealer,Manual,First Owner,2013,€ 325000,35299,Hyundai
716,4148,Toyota Etios V,Petrol,Dealer,Manual,First Owner,2011,€ 275000,51687,Toyota
717,4151,Volkswagen Vento Petrol Highline AT,Petrol,Dealer,Automatic,First Owner,2011,€ 269000,76259,Volkswagen
718,4154,Volkswagen Polo Diesel Highline 1.2L,Diesel,Dealer,Manual,First Owner,2013,€ 399000,44049,Volkswagen
719,4157,Mahindra KUV 100 mFALCON D75 K8,Diesel,Dealer,Manual,First Owner,2017,€ 475000,45087,Mahindra
720,4160,Toyota Etios V,Petrol,Dealer,Manual,First Owner,2011,€ 249000,41125,Toyota
721,4163,Audi A4 New  2.0 TDI Multitronic,Diesel,Dealer,Automatic,First Owner,2014,€ 1549000,42215,Audi
722,4166,Volkswagen Polo Petrol Highline 1.2L,Petrol,Dealer,Manual,First Owner,2011,€ 254999,54206,Volkswagen
723,4169,Skoda Rapid 1.6 MPI Active,Petrol,Dealer,Manual,First Owner,2012,€ 269000,52547,Skoda
724,4172,Maruti Ertiga ZDI,Diesel,Dealer,Manual,First Owner,2014,€ 665000,59110,Maruti
725,4175,Maruti Wagon R Stingray LXI,Petrol,Dealer,Manual,First Owner,2014,€ 299000,54565,Maruti
726,4178,Hyundai i20 Asta,Petrol,Dealer,Manual,Second Owner,2010,€ 265000,47564,Hyundai
727,4181,Volkswagen Polo Petrol Highline 1.2L,Petrol,Dealer,Manual,Second Owner,2010,€ 211000,45143,Volkswagen
728,4184,Skoda Superb 1.8 TSI,Petrol,Dealer,Automatic,Second Owner,2013,€ 599000,61624,Skoda
729,4187,Tata Indigo LS,Diesel,Individual,Manual,Third Owner,2007,€ 55000,195000,Tata
730,4190,Hyundai Verna 1.6 SX CRDi (O),Diesel,Individual,Manual,First Owner,2014,€ 550000,50000,Hyundai
731,4193,Land Rover Discovery Sport TD4 HSE 7S,Diesel,Individual,Automatic,First Owner,2018,€ 4000000,68000,Land
732,4196,Tata Sumo GX TC 8 Str,Diesel,Individual,Manual,Second Owner,2010,€ 220000,120000,Tata
733,4199,Maruti Swift VXI,Petrol,Individual,Manual,First Owner,2019,€ 500000,20000,Maruti
734,4202,Maruti Alto LXi,Petrol,Individual,Manual,First Owner,2010,€ 140000,30000,Maruti
735,4205,Maruti Swift VDI,Diesel,Individual,Manual,First Owner,2013,€ 325000,60000,Maruti
736,4208,Hyundai i20 Magna,Petrol,Individual,Manual,Third Owner,2010,€ 210000,90000,Hyundai
737,4211,Maruti Alto LXi,Petrol,Individual,Manual,Second Owner,2008,€ 110000,90000,Maruti
738,4214,Hyundai Verna CRDi 1.6 SX Option,Diesel,Individual,Manual,First Owner,2019,€ 1200000,25000,Hyundai
739,4217,Maruti Alto 800 VXI,Petrol,Individual,Manual,First Owner,2017,€ 229999,40000,Maruti
740,4220,Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner,2012,€ 225000,110000,Maruti
741,4223,Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner,2006,€ 165000,132000,Maruti
742,4226,Tata Tiago XZA AMT,Petrol,Dealer,Automatic,First Owner,2018,€ 525000,10980,Tata
743,4229,Hyundai EON Era Plus,Petrol,Dealer,Manual,First Owner,2018,€ 325000,20629,Hyundai
744,4232,Toyota Innova Crysta 2.4 VX MT BSIV,Diesel,Individual,Manual,First Owner,2018,€ 1500000,50000,Toyota
745,4235,Hyundai Grand i10 AT Asta,Petrol,Individual,Automatic,First Owner,2015,€ 400000,30000,Hyundai
746,4238,Maruti Ciaz VXi,Petrol,Dealer,Manual,First Owner,2015,€ 550000,69782,Maruti
747,4241,Maruti 800 Std,Petrol,Individual,Manual,First Owner,2003,€ 98000,54000,Maruti
748,4244,Mahindra XUV500 W8 4WD,Diesel,Dealer,Manual,First Owner,2013,€ 900000,63654,Mahindra
749,4247,Renault Lodgy 85PS RxL,Diesel,Individual,Manual,First Owner,2017,€ 700000,60000,Renault
750,4250,Mahindra Scorpio S6 Plus 7 Seater,Diesel,Dealer,Manual,First Owner,2015,€ 890000,52000,Mahindra
751,4253,Maruti Swift LDI BSIV,Diesel,Dealer,Manual,First Owner,2015,€ 490000,59385,Maruti
752,4256,Hyundai i20 2015-2017 Magna 1.2,Petrol,Dealer,Manual,First Owner,2015,€ 525000,70378,Hyundai
753,4259,Maruti Wagon R LXI BS IV,Petrol,Dealer,Manual,First Owner,2013,€ 330000,55425,Maruti
754,4262,Mahindra Bolero 2011-2019 SLX 2WD BSIII,Diesel,Dealer,Manual,Second Owner,2013,€ 550000,78413,Mahindra
755,4265,Mahindra Bolero Power Plus SLX,Diesel,Dealer,Manual,First Owner,2018,€ 790000,40890,Mahindra
756,4268,Honda Brio S MT,Petrol,Dealer,Manual,Second Owner,2015,€ 350000,34823,Honda
757,4271,Toyota Innova Crysta 2.8 ZX AT BSIV,Diesel,Individual,Automatic,First Owner,2017,€ 1700000,75000,Toyota
758,4274,Maruti Ciaz VDI SHVS,Diesel,Dealer,Manual,First Owner,2017,€ 750000,55545,Maruti
759,4277,Honda Amaze EX i-Dtech,Diesel,Dealer,Manual,First Owner,2014,€ 409999,56541,Honda
760,4280,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner,2016,€ 220000,43700,Hyundai
761,4283,Tata Indica GLS BS IV,Petrol,Individual,Manual,Second Owner,2009,€ 68000,120000,Tata
762,4286,Hyundai EON Era Plus,Petrol,Individual,Manual,First Owner,2017,€ 290000,20000,Hyundai
763,4289,Honda City i DTec SV,Diesel,Dealer,Manual,First Owner,2014,€ 600000,27483,Honda
764,4292,Maruti Swift LXI,Petrol,Individual,Manual,First Owner,2019,€ 470000,8000,Maruti
765,4295,Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,First Owner,2008,€ 150000,30000,Hyundai
766,4298,Maruti Alto 800 LXI,Petrol,Dealer,Manual,Second Owner,2014,€ 180000,56207,Maruti
767,4301,Maruti Zen LXI,Petrol,Individual,Manual,First Owner,2006,€ 80000,70000,Maruti
768,4304,Honda WR-V i-VTEC VX,Petrol,Individual,Manual,First Owner,2018,€ 875000,1440,Honda
769,4307,Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner,2019,€ 300000,50000,Maruti
770,4310,Toyota Fortuner 2.8 2WD AT BSIV,Diesel,Individual,Automatic,First Owner,2017,€ 2800000,20000,Toyota
771,4313,Toyota Innova Crysta 2.4 ZX MT,Diesel,Dealer,Manual,First Owner,2017,€ 1330000,91195,Toyota
772,4316,Volkswagen Polo 1.5 TDI Trendline,Diesel,Dealer,Manual,First Owner,2011,€ 220000,63657,Volkswagen
773,4319,Mahindra Verito Vibe 1.5 dCi D4,Diesel,Individual,Manual,First Owner,2013,€ 250000,60000,Mahindra
774,4322,Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,Dealer,Manual,First Owner,2016,€ 919999,75000,Toyota
775,4325,Volkswagen Vento Magnific 1.6 Highline,Petrol,Dealer,Manual,First Owner,2013,€ 380000,97248,Volkswagen
776,4328,Maruti Swift VDI,Diesel,Individual,Manual,First Owner,2012,€ 450000,46000,Maruti
777,4331,Hyundai Verna 1.6 VTVT AT S Option,Petrol,Individual,Automatic,First Owner,2016,€ 770000,10000,Hyundai
778,4334,Maruti Swift Dzire LDI,Diesel,Individual,Manual,First Owner,2018,€ 550000,80000,Maruti
779,4337,Tata New Safari DICOR 2.2 GX 4x2,Diesel,Individual,Manual,Second Owner,2011,€ 320000,100000,Tata
780,4340,Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,First Owner,2013,€ 400000,35000,Maruti
781,4343,Maruti Celerio VXI AT,Petrol,Individual,Automatic,First Owner,2017,€ 450000,50000,Maruti
782,4346,Maruti SX4 ZDI,Diesel,Individual,Manual,Third Owner,2011,€ 220000,90000,Maruti
783,4349,Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,Second Owner,2012,€ 400000,150000,Mahindra
784,4352,Hyundai Verna 1.6 SX VTVT (O),Petrol,Individual,Manual,Second Owner,2013,€ 530000,89000,Hyundai
785,4355,Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner,2014,€ 390000,60000,Maruti
786,4358,Fiat Grande Punto 1.3 Dynamic (Diesel),Diesel,Individual,Manual,Second Owner,2012,€ 185000,100000,Fiat
787,4361,Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner,2012,€ 300000,100000,Maruti
788,4364,Maruti Swift VDI BSIV,Diesel,Individual,Manual,Second Owner,2014,€ 575000,90000,Maruti
789,4367,Maruti Wagon R Stingray VXI,Petrol,Individual,Manual,First Owner,2014,€ 300000,75000,Maruti
790,4370,Toyota Etios Liva 1.4 VD,Diesel,Dealer,Manual,First Owner,2017,€ 425000,36000,Toyota
791,4373,Hyundai Xcent 1.2 Kappa SX,Petrol,Individual,Manual,First Owner,2016,€ 350000,12000,Hyundai
792,4376,Honda Amaze VX O iDTEC,Diesel,Dealer,Manual,First Owner,2017,€ 550000,12997,Honda
793,4379,Maruti Ciaz 1.4 AT Zeta,Petrol,Individual,Automatic,First Owner,2017,€ 500000,40000,Maruti
794,4382,Mahindra Scorpio S4 4WD,Diesel,Individual,Manual,First Owner,2015,€ 600000,60000,Mahindra
795,4385,Mahindra Quanto C8,Diesel,Individual,Manual,Second Owner,2013,€ 300000,25000,Mahindra
796,4388,Hyundai Verna CRDi 1.6 SX Option,Diesel,Dealer,Manual,First Owner,2018,€ 1150000,26430,Hyundai
797,4391,Maruti Swift 1.3 VXI ABS,Petrol,Dealer,Manual,First Owner,2015,€ 475000,24600,Maruti
798,4394,Maruti Wagon R LXI,Petrol,Dealer,Manual,First Owner,2011,€ 260000,28481,Maruti
799,4397,Ford Ecosport 1.0 Ecoboost Titanium Optional,Petrol,Individual,Manual,First Owner,2013,€ 350000,100000,Ford
800,4400,Mahindra XUV500 W8 2WD,Diesel,Dealer,Manual,First Owner,2013,€ 750000,41988,Mahindra
801,4403,Maruti Wagon R LXI,Petrol,Dealer,Manual,First Owner,2009,€ 180000,30375,Maruti
802,4406,Renault KWID Climber 1.0 AMT BSIV,Petrol,Dealer,Automatic,First Owner,2017,€ 350000,7658,Renault
803,4409,Maruti Swift Dzire VDI,Diesel,Dealer,Manual,First Owner,2017,€ 611000,34400,Maruti
804,4412,Renault KWID RXL BSIV,Petrol,Dealer,Manual,First Owner,2017,€ 325000,18500,Renault
805,4415,Hyundai EON 1.0 Era Plus,Petrol,Dealer,Manual,First Owner,2012,€ 225000,48000,Hyundai
806,4418,Maruti Wagon R AMT VXI,Petrol,Dealer,Automatic,First Owner,2014,€ 300000,28942,Maruti
807,4421,Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,Second Owner,2017,€ 400000,50000,Mahindra
808,4424,Mahindra XUV500 W8 2WD,Diesel,Dealer,Manual,First Owner,2012,€ 711000,53600,Mahindra
809,4427,Toyota Innova 2.5 G (Diesel) 8 Seater,Diesel,Dealer,Manual,First Owner,2015,€ 851000,53652,Toyota
810,4430,Maruti Ertiga VXI,Petrol,Individual,Manual,First Owner,2014,€ 500000,25000,Maruti
811,4433,Toyota Innova 2.5 G4 Diesel 8-seater,Diesel,Individual,Manual,Second Owner,2007,€ 250000,80000,Toyota
812,4436,Maruti Alto 800 VXI,Petrol,Individual,Manual,First Owner,2017,€ 150000,50000,Maruti
813,4439,Mahindra Scorpio 1.99 S10,Diesel,Individual,Manual,Second Owner,2016,€ 610000,15000,Mahindra
814,4442,Mahindra KUV 100 G80 K2,Petrol,Individual,Manual,First Owner,2018,€ 450000,5000,Mahindra
815,4445,Hyundai i20 1.4 Asta Option,Diesel,Individual,Manual,First Owner,2017,€ 744000,106000,Hyundai
816,4448,Chevrolet Spark 1.0,Petrol,Individual,Manual,Third Owner,2008,€ 120000,100000,Chevrolet
817,4451,Renault KWID RXL,Petrol,Individual,Manual,Third Owner,2016,€ 220000,60000,Renault
818,4454,Maruti Ertiga ZDI,Diesel,Individual,Manual,Fourth & Above Owner,2012,€ 480000,120000,Maruti
819,4457,Maruti Celerio ZXI Optional AMT BSIV,Petrol,Individual,Automatic,First Owner,2017,€ 370000,82000,Maruti
820,4460,Fiat Palio D 1.9 EL PS,Diesel,Individual,Manual,Second Owner,2003,€ 55000,35000,Fiat
821,4463,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner,2013,€ 125000,205000,Hyundai
822,4466,Hyundai Verna 1.6 CRDI,Diesel,Individual,Manual,Third Owner,2011,€ 260000,125000,Hyundai
823,4469,Fiat Linea Classic 1.3 Multijet,Diesel,Individual,Manual,First Owner,2015,€ 350000,130000,Fiat
824,4472,Maruti Alto 800 CNG LXI,CNG,Individual,Manual,Second Owner,2012,€ 170000,97000,Maruti
825,4475,Hyundai Grand i10 Sportz,Petrol,Individual,Manual,Second Owner,2015,€ 350000,90000,Hyundai
826,4478,Maruti Swift Dzire VXi,Petrol,Individual,Manual,Third Owner,2009,€ 250000,60000,Maruti
827,4481,Tata Indigo CR4,Diesel,Individual,Manual,First Owner,2013,€ 170000,60000,Tata
828,4484,Mahindra Scorpio S11 BSIV,Diesel,Individual,Manual,First Owner,2018,€ 1300000,35000,Mahindra
829,4487,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Petrol,Individual,Manual,First Owner,2019,€ 550000,25000,Hyundai
830,4490,Honda Brio 1.2 S MT,Petrol,Individual,Manual,First Owner,2017,€ 400000,15000,Honda
831,4493,Tata Nano Lx,Petrol,Individual,Manual,First Owner,2011,€ 120000,20000,Tata
832,4496,Tata Nano Lx,Petrol,Individual,Manual,First Owner,2011,€ 120000,20000,Tata
833,4499,Ford Figo Petrol Titanium,Petrol,Individual,Manual,First Owner,2010,€ 275000,70000,Ford
834,4502,Tata Zest Revotron 1.2T XE,Petrol,Individual,Manual,First Owner,2016,€ 285000,90000,Tata
835,4505,Hyundai Creta 1.4 CRDi Base,Diesel,Individual,Manual,First Owner,2016,€ 900000,80000,Hyundai
836,4508,Mercedes-Benz M-Class ML 350 CDI,Diesel,Individual,Automatic,Second Owner,2014,€ 2500000,79500,Mercedes-Benz
837,4511,Hyundai Verna 1.6 SX CRDi (O),Diesel,Individual,Manual,Second Owner,2013,€ 620000,70000,Hyundai
838,4514,Toyota Innova Crysta 2.4 GX MT 8S BSIV,Diesel,Individual,Manual,First Owner,2018,€ 1700000,5000,Toyota
839,4517,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Petrol,Individual,Manual,First Owner,2018,€ 650000,15000,Ford
840,4520,Maruti Ertiga VXI,Petrol,Individual,Manual,First Owner,2014,€ 500000,35000,Maruti
841,4523,Tata New Safari DICOR 2.2 EX 4x4,Diesel,Individual,Manual,Second Owner,2009,€ 250000,120000,Tata
842,4526,Mahindra Marazzo M4,Diesel,Individual,Manual,Second Owner,2018,€ 950000,15000,Mahindra
843,4529,Toyota Etios Cross 1.2L G,Petrol,Individual,Manual,First Owner,2015,€ 320000,60000,Toyota
844,4532,Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,First Owner,2013,€ 450000,120000,Renault
845,4535,Mahindra KUV 100 mFALCON D75 K8 AW,Diesel,Individual,Manual,First Owner,2016,€ 350000,90000,Mahindra
846,4538,Maruti Swift Dzire VXI,Petrol,Individual,Manual,First Owner,2015,€ 400000,90000,Maruti
847,4541,Maruti Omni MPI STD BSIV,Petrol,Individual,Manual,First Owner,2018,€ 200000,10000,Maruti
848,4544,Hyundai i20 Asta 1.4 CRDi (Diesel),Diesel,Individual,Manual,Second Owner,2009,€ 250000,72000,Hyundai
849,4547,Toyota Innova 2.0 GX 8 STR BSIV,Petrol,Individual,Manual,Second Owner,2011,€ 550000,197000,Toyota
850,4550,Maruti Zen LXI,Petrol,Individual,Manual,Second Owner,1999,€ 85000,70000,Maruti
851,4553,Hyundai Santro LP zipPlus,Petrol,Individual,Manual,Third Owner,2001,€ 52000,50000,Hyundai
852,4556,Tata Hexa XTA,Diesel,Individual,Automatic,First Owner,2017,€ 1200000,50000,Tata
853,4559,Hyundai Verna 1.6 SX VTVT AT,Petrol,Individual,Automatic,Third Owner,2011,€ 450000,60000,Hyundai
854,4562,Maruti Swift Dzire VXI 1.2 BS IV,Petrol,Individual,Manual,First Owner,2018,€ 615000,40000,Maruti
855,4565,Maruti SX4 ZDI Leather,Diesel,Individual,Manual,Second Owner,2012,€ 400000,60000,Maruti
856,4568,Tata Nano LX,Petrol,Individual,Manual,First Owner,2013,€ 60000,40000,Tata
857,4571,Maruti Ignis 1.2 Alpha BSIV,Petrol,Individual,Manual,First Owner,2017,€ 500000,9161,Maruti
858,4574,Honda Mobilio V i VTEC,Petrol,Individual,Manual,First Owner,2015,€ 600000,45000,Honda
859,4577,Hyundai Getz 1.3 GVS,Petrol,Individual,Manual,First Owner,2010,€ 110000,110000,Hyundai
860,4580,Hyundai Santro Xing GL Plus,Petrol,Individual,Manual,First Owner,2013,€ 175000,80000,Hyundai
861,4583,Ford Fiesta Titanium 1.5 TDCi,Diesel,Individual,Manual,Second Owner,2011,€ 325000,100000,Ford
862,4586,Maruti Swift Dzire LDI,Diesel,Individual,Manual,First Owner,2017,€ 425000,90000,Maruti
863,4589,Hyundai Accent GLE CNG,CNG,Individual,Manual,Third Owner,2009,€ 160000,70000,Hyundai
864,4592,Maruti Zen Estilo LXI BSIII,Petrol,Individual,Manual,Third Owner,2007,€ 100000,80000,Maruti
865,4595,Maruti Swift Dzire LDI,Diesel,Individual,Manual,Second Owner,2014,€ 390000,110000,Maruti
866,4598,Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,First Owner,2017,€ 400000,50000,Hyundai
867,4601,Tata Tigor 1.2 Revotron XM,Petrol,Individual,Manual,First Owner,2018,€ 509999,5000,Tata
868,4604,Hyundai i10 Magna 1.1,Petrol,Individual,Manual,Third Owner,2008,€ 150000,90000,Hyundai
869,4607,Hyundai Santro Xing GLS,Petrol,Individual,Manual,First Owner,2009,€ 110000,120000,Hyundai
870,4610,Nissan Sunny Diesel XV,Diesel,Individual,Manual,First Owner,2013,€ 450000,80000,Nissan
871,4613,Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,Second Owner,2017,€ 400000,38000,Hyundai
872,4616,Hyundai Santro Xing GLS,Petrol,Individual,Manual,First Owner,2009,€ 140000,120000,Hyundai
873,4619,Tata Indigo CR4,Diesel,Individual,Manual,First Owner,2011,€ 130000,90000,Tata
874,4622,Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner,2017,€ 160000,50000,Maruti
875,4625,Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner,2016,€ 150000,60000,Maruti
876,4628,Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,Second Owner,2013,€ 500000,100000,Mahindra
877,4631,Tata Nano Std,Petrol,Individual,Manual,First Owner,2011,€ 40000,19000,Tata
878,4634,Chevrolet Tavera LT L1 7 Seats BSIII,Diesel,Individual,Manual,Third Owner,2006,€ 140000,200000,Chevrolet
879,4637,Mahindra Verito 1.5 D2 BSIV,Diesel,Individual,Manual,Second Owner,2015,€ 227000,70000,Mahindra
880,4640,Maruti Swift VDI,Diesel,Individual,Manual,Second Owner,2011,€ 285000,50000,Maruti
881,4643,Maruti Alto LX,Petrol,Individual,Manual,Second Owner,2012,€ 155000,19077,Maruti
882,4646,Hyundai EON D Lite,Petrol,Individual,Manual,First Owner,2016,€ 210000,30000,Hyundai
883,4649,Maruti Alto LXi,Petrol,Individual,Manual,Second Owner,2009,€ 140000,80000,Maruti
884,4652,Toyota Innova 2.5 GX (Diesel) 7 Seater,Diesel,Individual,Manual,First Owner,2015,€ 940000,128000,Toyota
885,4655,Nissan Terrano XV Premium 110 PS,Diesel,Individual,Manual,First Owner,2013,€ 750000,80000,Nissan
886,4658,Maruti Baleno Alpha 1.3,Diesel,Individual,Manual,First Owner,2016,€ 610000,100000,Maruti
887,4661,Nissan Sunny XV D Premium Leather,Diesel,Individual,Manual,First Owner,2015,€ 450000,50000,Nissan
888,4664,Toyota Etios Liva GD,Diesel,Individual,Manual,First Owner,2012,€ 409999,56000,Toyota
889,4667,Hyundai EON 1.0 Era Plus,Petrol,Individual,Manual,First Owner,2018,€ 100000,21302,Hyundai
890,4670,Renault KWID 1.0 RXT Optional,Petrol,Individual,Manual,First Owner,2018,€ 300000,10500,Renault
891,4673,Mahindra Bolero 2011-2019 SLX,Diesel,Individual,Manual,First Owner,2013,€ 400000,107000,Mahindra
892,4676,Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,Second Owner,2010,€ 210000,60000,Hyundai
893,4679,Hyundai Santro Xing XG eRLX Euro III,Petrol,Individual,Manual,Second Owner,2006,€ 90000,120000,Hyundai
894,4682,Maruti Wagon R LXI BS IV,Petrol,Individual,Manual,First Owner,2010,€ 222000,70000,Maruti
895,4685,Maruti Alto 800 LXI,Petrol,Individual,Manual,Second Owner,2015,€ 240000,50000,Maruti
896,4688,Toyota Etios Liva GD,Diesel,Individual,Manual,Second Owner,2013,€ 450000,70000,Toyota
897,4691,Renault Duster 85PS Diesel RxL,Diesel,Dealer,Manual,Second Owner,2013,€ 450000,1000,Renault
898,4694,Mercedes-Benz C-Class Progressive C 220d,Diesel,Dealer,Automatic,First Owner,2018,€ 3800000,10000,Mercedes-Benz
899,4697,Audi A4 3.0 TDI Quattro,Diesel,Dealer,Automatic,First Owner,2013,€ 1580000,86000,Audi
900,4700,BMW X5 xDrive 30d xLine,Diesel,Dealer,Automatic,First Owner,2019,€ 4950000,30000,BMW
901,4703,Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,First Owner,2016,€ 535000,52600,Hyundai
902,4706,Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner,2012,€ 225000,110000,Maruti
903,4709,Hyundai Grand i10 1.2 Kappa Magna AT,Petrol,Dealer,Automatic,First Owner,2017,€ 550000,19890,Hyundai
904,4712,Maruti Swift ZXI BSIV,Petrol,Trustmark Dealer,Manual,First Owner,2016,€ 670000,7104,Maruti
905,4715,Maruti Ertiga VXI,Petrol,Trustmark Dealer,Manual,First Owner,2015,€ 625000,11918,Maruti
906,4718,Hyundai Grand i10 Magna AT,Petrol,Dealer,Automatic,First Owner,2017,€ 520000,10510,Hyundai
907,4721,Chevrolet Beat LT Option,Petrol,Dealer,Manual,First Owner,2016,€ 239000,41000,Chevrolet
908,4724,Toyota Fortuner 4x2 AT,Diesel,Trustmark Dealer,Automatic,First Owner,2017,€ 2600000,47162,Toyota
909,4727,Maruti S-Cross Zeta DDiS 200 SH,Diesel,Trustmark Dealer,Manual,First Owner,2015,€ 750000,45974,Maruti
910,4730,Hyundai i10 Magna,Petrol,Dealer,Manual,First Owner,2012,€ 229999,49824,Hyundai
911,4733,Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,First Owner,2013,€ 1300000,58500,Audi
912,4736,Hyundai Santro GS,Petrol,Dealer,Manual,First Owner,2005,€ 80000,56580,Hyundai
913,4739,Skoda Laura Ambiente 2.0 TDI CR MT,Diesel,Dealer,Manual,First Owner,2012,€ 385000,52000,Skoda
914,4742,Hyundai Verna 1.6 VTVT SX,Petrol,Trustmark Dealer,Manual,First Owner,2015,€ 760000,55340,Hyundai
915,4745,Maruti Swift Dzire VDI,Diesel,Trustmark Dealer,Manual,First Owner,2017,€ 600000,46507,Maruti
916,4748,Renault Duster 85PS Diesel RxL,Diesel,Dealer,Manual,Second Owner,2013,€ 450000,1000,Renault
917,4751,Mercedes-Benz C-Class Progressive C 220d,Diesel,Dealer,Automatic,First Owner,2018,€ 3800000,10000,Mercedes-Benz
918,4754,Audi A4 3.0 TDI Quattro,Diesel,Dealer,Automatic,First Owner,2013,€ 1580000,86000,Audi
919,4757,BMW X5 xDrive 30d xLine,Diesel,Dealer,Automatic,First Owner,2019,€ 4950000,30000,BMW
920,4760,Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,First Owner,2016,€ 535000,52600,Hyundai
921,4763,Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner,2012,€ 225000,110000,Maruti
922,4766,Hyundai Grand i10 1.2 Kappa Magna AT,Petrol,Dealer,Automatic,First Owner,2017,€ 550000,19890,Hyundai
923,4769,Maruti Swift ZXI BSIV,Petrol,Trustmark Dealer,Manual,First Owner,2016,€ 670000,7104,Maruti
924,4772,Maruti Ertiga VXI,Petrol,Trustmark Dealer,Manual,First Owner,2015,€ 625000,11918,Maruti
925,4775,Hyundai Grand i10 Magna AT,Petrol,Dealer,Automatic,First Owner,2017,€ 520000,10510,Hyundai
926,4778,Chevrolet Beat LT Option,Petrol,Dealer,Manual,First Owner,2016,€ 239000,41000,Chevrolet
927,4781,Toyota Fortuner 4x2 AT,Diesel,Trustmark Dealer,Automatic,First Owner,2017,€ 2600000,47162,Toyota
928,4784,Maruti S-Cross Zeta DDiS 200 SH,Diesel,Trustmark Dealer,Manual,First Owner,2015,€ 750000,45974,Maruti
929,4787,Hyundai i10 Magna,Petrol,Dealer,Manual,First Owner,2012,€ 229999,49824,Hyundai
930,4790,Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,First Owner,2013,€ 1300000,58500,Audi
